+-----+--------------------------------------------+----------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for                  |
|  51 | creepingnether:purified_nether             | Purified Nether            |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                          | stronghold                 |
|  52 | gaiadimension:pink_agate_forest            | Pink Agate Forest          |  0.66 | MEDIUM   | 0.00 | false | false   |            | FOREST                                          | stronghold                 |
|  53 | gaiadimension:blue_agate_taiga             | Blue Agate Taiga           |  0.40 | MEDIUM   | 0.00 | false | false   |            | CONIFEROUS                                      | stronghold                 |
|  54 | gaiadimension:green_agate_jungle           | Green Agate Jungle         |  0.75 | MEDIUM   | 0.00 | false | false   |            | JUNGLE                                          | stronghold                 |
|  55 | gaiadimension:purple_agate_swamp           | Purple Agate Swamp         |  0.70 | MEDIUM   | 0.00 | false | false   |            | MAGICAL, SWAMP                                  | stronghold                 |
|  56 | gaiadimension:fossil_woodland              | Fossil Woodland            |  0.66 | MEDIUM   | 0.00 | false | false   |            | SAVANNA                                         | stronghold                 |
|  57 | gaiadimension:mutant_agate_wildwood        | Mutant Agate Wildwood      |  0.66 | MEDIUM   | 0.00 | false | false   |            | FOREST, LUSH, MAGICAL                           | stronghold                 |
|  58 | gaiadimension:crystal_plains               | Crystal Plains             |  0.66 | MEDIUM   | 0.00 | false | false   |            | PLAINS                                          | stronghold                 |
|  59 | gaiadimension:salt_dunes                   | Salt Dunes                 |  0.80 | MEDIUM   | 0.00 | false | false   |            | DRY, HOT, SANDY, SPARSE                         | stronghold                 |
|  60 | gaiadimension:shining_grove                | Shining Grove              |  0.50 | MEDIUM   | 0.00 | false | false   |            | FOREST, LUSH, MAGICAL                           | stronghold                 |
|  61 | gaiadimension:smoldering_bog               | Smoldering Bog             |  0.90 | MEDIUM   | 0.00 | false | false   |            | DEAD, HOT, WASTELAND                            | stronghold                 |
|  62 | gaiadimension:volcaniclands                | Volcaniclands              |  0.90 | MEDIUM   | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, SPARSE                      | stronghold                 |
|  63 | gaiadimension:static_wasteland             | Static Wasteland           |  0.40 | MEDIUM   | 0.00 | false | false   |            | MOUNTAIN, WASTELAND                             | stronghold                 |
|  64 | gaiadimension:goldstonelands               | Goldstonelands             |  0.55 | MEDIUM   | 0.00 | false | false   |            | PLAINS, WASTELAND                               | stronghold                 |
|  65 | gaiadimension:mineral_reservoir            | Mineral Reservoir          |  0.66 | MEDIUM   | 0.00 | false | false   |            | OCEAN, WATER                                    |                            |
|  66 | gaiadimension:mineral_river                | Mineral River              |  0.50 | MEDIUM   | 0.00 | false | false   |            | RIVER, WATER                                    |                            |
|  67 | midnight:vigilant_forest                   | Vigilant Forest            |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, SPOOKY                                  | stronghold                 |
|  68 | midnight:black_ridge                       | Black Ridge                |  0.50 | MEDIUM   | 0.50 | false | false   |            | HILLS, MOUNTAIN, SPARSE, SPOOKY                 | stronghold                 |
|  69 | midnight:deceitful_bog                     | Deceitful Bog              |  0.50 | MEDIUM   | 0.50 | false | false   |            | SPOOKY, SWAMP                                   |                            |
|  70 | midnight:fungi_forest                      | Fungi Forest               |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, SPOOKY                                  | stronghold                 |
|  71 | midnight:obscured_peaks                    | Obscured Peaks             |  0.50 | MEDIUM   | 0.50 | false | false   |            | HILLS, MOUNTAIN, SPARSE, SPOOKY                 | stronghold                 |
|  72 | midnight:warped_fields                     | Warped Fields              |  0.50 | MEDIUM   | 0.50 | false | false   |            | HILLS, SPOOKY                                   | stronghold                 |
|  73 | midnight:crystal_spires                    | Crystal Spires             |  0.50 | MEDIUM   | 0.50 | false | false   |            | MAGICAL, PLAINS                                 | stronghold                 |
|  74 | midnight:night_plains                      | Night Plains               |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS, SPOOKY                                  | stronghold                 |
|  75 | midnight:obscured_plateau                  | Obscured Plateau           |  0.50 | MEDIUM   | 0.50 | false | false   |            | MOUNTAIN, SPARSE, SPOOKY                        | stronghold                 |
|  76 | midnight:phantasmal_valley                 | Phantasmal Valley          |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS, SPOOKY                                  |                            |
|  77 | midnight:runebush_grove                    | Runebush Grove             |  0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, SPOOKY                           | stronghold                 |
|  78 | midnight:hilly_vigilant_forest             | Hilly Vigilant Forest      |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, HILLS, SPOOKY                           | stronghold                 |
|  79 | midnight:hilly_fungi_forest                | Hilly Fungi Forest         |  0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, HILLS, SPOOKY                           | stronghold                 |
|  80 | wildnature:pine_forest                     | Pine Forest                |  0.25 | MEDIUM   | 0.60 | false | false   | COOL       | COLD, FOREST                                    | spawn, stronghold          |
|  81 | wildnature:pine_hill                       | Pine Hill                  |  0.20 | MEDIUM   | 0.30 | false | false   | COOL       | COLD, FOREST, HILLS, MOUNTAIN                   | spawn, stronghold          |
|  82 | wildnature:boreal_pine_forest              | Boreal Forest              |  0.20 | MEDIUM   | 0.40 | false | false   | COOL       | COLD, FOREST                                    | spawn, stronghold          |
|  83 | wildnature:wetlands                        | Wetlands                   |  0.50 | MEDIUM   | 0.90 | false | false   | WARM       | LUSH, SWAMP, WET                                | spawn                      |
|  84 | wildnature:orchard                         | Orchard                    |  0.75 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, HOT, RARE, WET                   | spawn, stronghold          |
|  85 | wildnature:cherry_orchard                  | Cherry Orchard             |  0.60 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, HOT, RARE, WET                   | spawn, stronghold          |
|  86 | wildnature:highlands                       | Highlands                  |  0.30 | MEDIUM   | 0.40 | false | false   | COOL       | FOREST, HILLS, WET                              | spawn, stronghold          |
|  87 | wildnature:tatra_mountains                 | Tatra Mountains            |  0.30 | MEDIUM   | 0.30 |  true | false   | COOL       | FOREST, MOUNTAIN, RARE                          | spawn, stronghold          |
|  88 | wildnature:coniferous_forest               | Coniferous Forest          |  0.25 | MEDIUM   | 0.30 | false | false   | COOL       | CONIFEROUS, DENSE, FOREST                       | spawn, stronghold          |
|  89 | wildnature:snowy_coniferous_forest         | Snowy Coniferous Forest    |  0.10 | COLD     | 0.30 |  true | false   | ICY        | CONIFEROUS, DENSE, FOREST                       | spawn, stronghold          |
|  90 | wildnature:frozen_coniferous_forest        | Frozen Coniferous Forest   |  0.00 | COLD     | 0.30 |  true | false   | ICY        | CONIFEROUS, DENSE, FOREST                       | spawn, stronghold          |
|  91 | wildnature:tundra                          | Tundra                     |  0.25 | MEDIUM   | 0.40 | false | false   | ICY        | DEAD, PLAINS, WET                               | spawn, stronghold          |
|  92 | wildnature:taiga_mountains                 | Taiga Mountains            |  0.25 | MEDIUM   | 0.50 | false | false   | COOL       | FOREST, MOUNTAIN                                | spawn, stronghold          |
|  93 | wildnature:diorite_mountains               | Diorite Mountains          |  0.30 | MEDIUM   | 0.30 |  true | false   | COOL       | HILLS, MOUNTAIN, RARE                           | spawn, stronghold          |
|  94 | wildnature:granite_mountains               | Granite Mountains          |  0.30 | MEDIUM   | 0.30 |  true | false   | COOL       | HILLS, MOUNTAIN, RARE                           | spawn, stronghold          |
|  95 | wildnature:prismarine_mountains            | Prismarine Mountains       |  0.30 | MEDIUM   | 0.30 |  true | false   | COOL       | HILLS, MOUNTAIN, OCEAN, RARE, WATER             | spawn, stronghold          |
|  96 | wildnature:frozen_mountains                | Frozen Mountains           |  0.00 | COLD     | 0.30 |  true | false   | ICY        | MOUNTAIN, RARE                                  | spawn, stronghold          |
|  97 | wildnature:misty_mountains                 | Misty Mountains            |  0.30 | MEDIUM   | 0.70 | false | false   | COOL       | COLD, DEAD, MOUNTAIN, RARE, SPOOKY              | spawn, stronghold          |
|  98 | wildnature:glacier                         | Glacier                    | -0.30 | COLD     | 0.10 |  true | false   | ICY        | MOUNTAIN, RARE                                  | spawn, stronghold          |
|  99 | wildnature:steppe                          | Steppe                     |  0.85 | MEDIUM   | 0.20 | false | false   | WARM       | DEAD, DRY, HOT, SAVANNA                         | spawn, stronghold          |
| 100 | wildnature:eucalyptus_forest               | Eucalyptus Forest          |  0.85 | MEDIUM   | 0.60 | false | false   | WARM       | HOT, JUNGLE, WET                                | spawn, stronghold          |
| 101 | wildnature:grand_canyon                    | Grand Canyon               |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | HILLS, HOT, MESA, RIVER, SANDY, WATER           | spawn, stronghold          |
| 102 | wildnature:overgrown_mountains             | Overgrown Mountains        |  0.85 | MEDIUM   | 0.80 | false | false   | WARM       | HILLS, HOT, JUNGLE                              | spawn, stronghold          |
| 103 | wildnature:jacaranda_forest                | Jacaranda Forest           |  0.65 | MEDIUM   | 0.70 | false | false   | WARM       | FOREST, RARE                                    | spawn, stronghold          |
| 104 | wildnature:deciduous_forest                | Deciduous Forest           |  0.40 | MEDIUM   | 0.40 | false | false   | WARM       | DENSE, FOREST                                   | spawn, stronghold          |
| 105 | wildnature:deciduous_mountain              | Deciduous Mountain         |  0.40 | MEDIUM   | 0.40 | false | false   | WARM       | DENSE, FOREST, MOUNTAIN                         | spawn, stronghold          |
| 106 | wildnature:redwood_forest                  | Redwood Forest             |  0.40 | MEDIUM   | 0.60 | false | false   | WARM       | DENSE, FOREST                                   | spawn, stronghold          |
| 107 | wildnature:grassland                       | Grasslands                 |  0.40 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                          | spawn, stronghold          |
| 108 | wildnature:lupine_field                    | Lupine Field               |  0.40 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                          | spawn, stronghold          |
| 109 | wildnature:blue_plains                     | Blue Plains                |  0.40 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS, RARE                                    | spawn, stronghold          |
| 110 | wildnature:dense_forest                    | Dense Forest               |  0.40 | MEDIUM   | 0.40 | false | false   | COOL       | DENSE, FOREST                                   | spawn, stronghold          |
| 111 | wildnature:dark_dense_forest               | Dark Dense Forest          |  0.40 | MEDIUM   | 0.60 | false | false   | COOL       | DENSE, FOREST, HILLS                            | spawn, stronghold          |
| 112 | wildnature:hornbeam_forest                 | Hornbeam Forest            |  0.35 | MEDIUM   | 0.50 | false | false   | COOL       | DENSE, FOREST                                   | spawn, stronghold          |
| 113 | wildnature:peatlands                       | Peatlands                  |  0.30 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, LUSH, WET                               | spawn, stronghold          |
| 114 | wildnature:rainforest                      | Rainforest                 |  0.90 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, HILLS, JUNGLE, WET               | spawn, stronghold          |
| 115 | wildnature:dunes                           | Dunes                      |  0.90 | MEDIUM   | 0.40 | false | false   | DESERT     | SANDY                                           | spawn, stronghold          |
| 116 | wildnature:savanna_desert                  | Savanna Desert             |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HOT, SANDY, SAVANNA                        | spawn, stronghold          |
| 117 | wildnature:savanna_desert_hills            | Savanna Desert             |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HILLS, HOT, SANDY, SAVANNA                 | spawn, stronghold          |
| 118 | wildnature:savanna_desert_edge             | Savanna Desert Edge        |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HOT, SANDY, SAVANNA                        | spawn, stronghold          |
| 119 | wildnature:savanna_desert_edge_hills       | Savanna Desert Edge Hills  |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HILLS, HOT, SANDY, SAVANNA                 | spawn, stronghold          |
| 120 | wildnature:red_savanna_desert              | Red Savanna Desert         |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HOT, SANDY, SAVANNA                        | spawn, stronghold          |
| 121 | wildnature:red_savanna_desert_hills        | Red Savanna Desert Hills   |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HILLS, HOT, SANDY, SAVANNA                 | spawn, stronghold          |
| 122 | wildnature:mixed_savanna_desert            | Mixed Savanna Desert       |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HOT, SANDY, SAVANNA                        | spawn, stronghold          |
| 123 | wildnature:mixed_savanna_desert_hills      | Mixed Savanna Desert Hills |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HILLS, HOT, SANDY, SAVANNA                 | spawn, stronghold          |
| 124 | wildnature:mixed_desert                    | Mixed Desert               |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HOT, SANDY                                 | spawn, stronghold          |
| 125 | wildnature:mixed_desert_mountains          | Mixed Desert Mountains     |  0.85 | MEDIUM   | 0.20 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                       | spawn, stronghold          |
| 126 | wildnature:light_mesa                      | Light Mesa                 |  0.80 | MEDIUM   | 0.20 | false | false   | DESERT     | HILLS, HOT, MESA, RARE, SANDY                   | spawn, stronghold          |
| 127 | minecraft:void                             | The Void                   |  0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                            | stronghold                 |
| 128 | wildnature:tropical_mesa                   | Tropical Mesa              |  0.85 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, JUNGLE, MESA                               | spawn, stronghold          |
| 129 | minecraft:mutated_plains                   | Sunflower Plains           |  0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                    | stronghold, village        |
| 130 | minecraft:mutated_desert                   | Desert M                   |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                           | stronghold, village        |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M            |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold                 |
| 132 | minecraft:mutated_forest                   | Flower Forest              |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                             | stronghold                 |
| 133 | minecraft:mutated_taiga                    | Taiga M                    |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE        | stronghold, village        |
| 134 | minecraft:mutated_swampland                | Swampland M                |  0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                         | village                    |
| 135 | wildnature:tropical_water_rocks            | Tropical Water Rocks       |  0.80 | MEDIUM   | 0.80 | false | false   | WARM       | HILLS, JUNGLE, MOUNTAIN, OCEAN, WATER           | spawn                      |
| 136 | wildnature:marsh                           | Marsh                      |  0.50 | MEDIUM   | 0.90 | false | false   | WARM       | DRY, WATER, WET                                 | spawn, stronghold          |
| 137 | wildnature:land_of_rivers                  | Land Of Rivers             |  0.50 | MEDIUM   | 0.90 | false | false   | COOL       | FOREST, WATER, WET                              | spawn                      |
| 138 | wildnature:tropics                         | Tropics                    |  0.90 | MEDIUM   | 0.60 | false | false   | WARM       | BEACH, HOT, JUNGLE, RARE, WET                   | spawn, stronghold          |
| 139 | wildnature:sandy_tropics                   | Sandy Tropics              |  0.90 | MEDIUM   | 0.60 | false | false   | DESERT     | BEACH, HOT, JUNGLE, RARE, SANDY, WET            | spawn, stronghold          |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes          |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                        | stronghold, village        |
| 141 | wildnature:autumnal_forest                 | Autumnal Forest            |  0.40 | MEDIUM   | 0.70 | false | false   | COOL       | COLD, FOREST                                    | spawn, stronghold          |
| 142 | wildnature:prairie                         | Prairie                    |  0.50 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                          | spawn, stronghold          |
| 143 | wildnature:polar_plateau                   | Polar Plateau              | -0.30 | COLD     | 0.90 |  true | false   | ICY        | DEAD, PLAINS, SNOWY                             | spawn, stronghold          |
| 144 | wildnature:volcano                         | Volcano                    |  1.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SPARSE                      | spawn, stronghold          |
| 145 | wildnature:amazonia                        | Amazonia                   |  0.90 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, HOT, JUNGLE, LUSH, WET           | spawn, stronghold          |
| 146 | wildnature:mahogany_rainforest             | Mahogany Rainforest        |  0.90 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, HOT, JUNGLE, LUSH, WET           | spawn, stronghold          |
| 147 | wildnature:mahogany_mountains              | Mahogany Cliffs            |  0.90 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, HOT, JUNGLE, LUSH, WET           | spawn, stronghold          |
| 148 | wildnature:prairie_plateau                 | Prairie Plateau            |  0.50 | MEDIUM   | 0.40 | false | false   | WARM       | HILLS, MOUNTAIN, PLAINS                         | spawn, stronghold          |
| 149 | minecraft:mutated_jungle                   | Jungle M                   |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET         | stronghold, village        |
| 150 | wildnature:natural_maze                    | Natural Maze               |  0.40 | MEDIUM   | 0.40 | false | false   | COOL       | PLAINS, RARE, SPOOKY                            | spawn, stronghold          |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M               |  0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                | stronghold                 |
| 152 | wildnature:rocky_spruce_forest             | Rocky Spruce Forest        |  0.25 | MEDIUM   | 0.40 | false | false   | COOL       | CONIFEROUS, FOREST, HILLS                       | spawn, stronghold          |
| 153 | wildnature:roofed_forest_hills             | Roofed Forest Cliffs       |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | FOREST, HILLS, MOUNTAIN                         | spawn, stronghold          |
| 154 | wildnature:sea_highlands                   | Sea Highlands              |  0.40 | MEDIUM   | 0.40 | false | false   | WARM       | HILLS, MOUNTAIN, OCEAN, PLAINS, WATER           | spawn, stronghold          |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M             |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold                 |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M       |  0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE                   | stronghold                 |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M            |  0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY           | stronghold                 |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M               | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY | stronghold, village        |
| 159 | wildnature:birch_grove                     | Birch Grove                |  0.40 | MEDIUM   | 0.60 | false | false   | COOL       | DENSE, FOREST                                   | spawn, stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga          |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, RARE                             | stronghold                 |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M      |  0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold                 |
