+-------------------------------------------------------------+------+------+---------------------------------+----------+
| NOTE: The Block ID is for very specific low-level purposes only!                                                       |
| It WILL be different in every world since Minecraft 1.7,                                                               |
| because they are dynamically allocated by the game!                                                                    |
+-------------------------------------------------------------+------+------+---------------------------------+----------+
| Registry name                                               |   ID | meta | Display name                    |    Count |
| minecraft:stonebrick                                        |   98 |    3 | Chiseled Stone Bricks           |       80 |
| minecraft:tallgrass                                         |   31 |    1 | Shrub                           |      177 |
| minecraft:tallgrass                                         |   31 |    2 | Shrub                           |      143 |
| minecraft:torch                                             |   50 |    1 | Torch                           |        1 |
| minecraft:torch                                             |   50 |    2 | Torch                           |        1 |
| minecraft:torch                                             |   50 |    3 | Torch                           |        4 |
| minecraft:torch                                             |   50 |    4 | Torch                           |        2 |
| minecraft:trapdoor                                          |   96 |    1 | Oak Trapdoor                    |        1 |
| minecraft:vine                                              |  106 |    2 | Vines                           |        2 |
| minecraft:vine                                              |  106 |    6 | Vines                           |        1 |
| minecraft:water                                             |    9 |    0 | minecraft:water                 |   150866 |
| minecraft:water                                             |    9 |    1 | minecraft:water                 |       60 |
| minecraft:water                                             |    9 |    2 | minecraft:water                 |       37 |
| minecraft:water                                             |    9 |    3 | minecraft:water                 |       21 |
| minecraft:water                                             |    9 |    4 | minecraft:water                 |       18 |
| minecraft:water                                             |    9 |    5 | minecraft:water                 |       14 |
| minecraft:water                                             |    9 |    6 | minecraft:water                 |       13 |
| minecraft:water                                             |    9 |    7 | minecraft:water                 |       13 |
| minecraft:water                                             |    9 |    9 | minecraft:water                 |       39 |
| minecraft:water                                             |    9 |   10 | minecraft:water                 |       16 |
| minecraft:water                                             |    9 |   11 | minecraft:water                 |        3 |
| minecraft:water                                             |    9 |   12 | minecraft:water                 |        1 |
| minecraft:water                                             |    9 |   13 | minecraft:water                 |        1 |
| minecraft:water                                             |    9 |   15 | minecraft:water                 |        1 |
| minecraft:web                                               |   30 |    0 | Cobweb                          |      524 |
| minecraft:wooden_button                                     |  143 |    1 | Oak Button                      |        1 |
| minecraft:wooden_button                                     |  143 |    2 | Oak Button                      |        1 |
| minecraft:wooden_button                                     |  143 |    3 | Oak Button                      |        1 |
| minecraft:wooden_button                                     |  143 |    4 | Oak Button                      |        1 |
| minecraft:wooden_slab                                       |  126 |    9 | Spruce Wood Slab                |        2 |
| mysticalworld:amethyst_ore                                  | 3642 |    0 | Amethyst Ore                    |     3412 |
| mysticalworld:thatch                                        | 3639 |    0 | Thatch                          |       52 |
| quark:elder_prismarine                                      | 1285 |    0 | Elder Prismarine                |     1720 |
| quark:limestone                                             | 1278 |    0 | Limestone                       |    10020 |
| quark:marble                                                | 1273 |    0 | Marble                          |     2792 |
| quark:marble_speleothem                                     | 1259 |    0 | Marble Speleothem               |        1 |
| quark:marble_speleothem                                     | 1259 |    1 | Marble Speleothem               |        1 |
| quark:marble_speleothem                                     | 1259 |    2 | Marble Speleothem               |        1 |
| quark:monster_box                                           | 1267 |    0 | Monster Box                     |        4 |
| quark:roots                                                 | 1248 |    1 | Cave Roots                      |     2237 |
| quark:roots                                                 | 1248 |    2 | Cave Roots                      |     2536 |
| quark:roots                                                 | 1248 |    4 | Cave Roots                      |     1947 |
| quark:roots                                                 | 1248 |    8 | Cave Roots                      |     2149 |
| quark:roots_black_flower                                    | 1250 |    1 | Cave Roots                      |      122 |
| quark:roots_black_flower                                    | 1250 |    2 | Cave Roots                      |       76 |
| quark:roots_black_flower                                    | 1250 |    4 | Cave Roots                      |      130 |
| quark:roots_black_flower                                    | 1250 |    8 | Cave Roots                      |      111 |
| quark:roots_blue_flower                                     | 1249 |    1 | Cave Roots                      |       75 |
| quark:roots_blue_flower                                     | 1249 |    2 | Cave Roots                      |       68 |
| quark:roots_blue_flower                                     | 1249 |    4 | Cave Roots                      |      110 |
| quark:roots_blue_flower                                     | 1249 |    8 | Cave Roots                      |      107 |
| quark:roots_white_flower                                    | 1251 |    1 | Cave Roots                      |       52 |
| quark:roots_white_flower                                    | 1251 |    2 | Cave Roots                      |       47 |
| quark:roots_white_flower                                    | 1251 |    4 | Cave Roots                      |       64 |
| quark:roots_white_flower                                    | 1251 |    8 | Cave Roots                      |       45 |
| quark:stone_speleothem                                      | 1253 |    0 | Stone Speleothem                |       58 |
| quark:stone_speleothem                                      | 1253 |    1 | Stone Speleothem                |       55 |
| quark:stone_speleothem                                      | 1253 |    2 | Stone Speleothem                |       36 |
| rustic:core_root                                            |  587 |    3 | rustic:core_root                |       18 |
| rustic:horsetail                                            |  590 |    3 | Horsetail                       |        3 |
| rustic:mooncap_mushroom                                     |  592 |    3 | Mooncap Mushroom                |       19 |
| rustic:slate                                                |  493 |    0 | Slate                           |    72109 |
| rustic:wildberry_bush                                       |  571 |    1 | Wildberry Bush                  |        1 |
| rustic:wind_thistle                                         |  593 |    3 | Wind Thistle                    |        1 |
| soot:sulfur_ore                                             | 3539 |    0 | Sulfur Ore                      |       16 |
| soulus:fossil_dirt                                          | 3093 |    0 | Dirt with Fossils               |    70150 |
| soulus:fossil_dirt_ender                                    | 3096 |    0 | Dirt with Glowing Fossils       |     8567 |
| soulus:fossil_gravel_scale                                  | 3103 |    0 | Gravel with Scale Fossils       |      142 |
| soulus:fossil_sand_scale                                    | 3098 |    0 | Sand with Scale Fossils         |      188 |
| soulus:summoner                                             | 3116 |    1 | Empty Summoner                  |       41 |
| soulus:summoner                                             | 3116 |    5 | Empty Summoner                  |        4 |
| thaumcraft:crystal_aer                                      | 1330 |    1 | Air Crystal                     |      236 |
| thaumcraft:crystal_aer                                      | 1330 |    2 | Air Crystal                     |      274 |
| thaumcraft:crystal_aer                                      | 1330 |    3 | Air Crystal                     |      283 |
| thaumcraft:crystal_aer                                      | 1330 |    4 | Air Crystal                     |        1 |
| thaumcraft:crystal_aqua                                     | 1332 |    1 | Water Crystal                   |       82 |
| thaumcraft:crystal_aqua                                     | 1332 |    2 | Water Crystal                   |      119 |
| thaumcraft:crystal_aqua                                     | 1332 |    3 | Water Crystal                   |      124 |
| thaumcraft:crystal_ignis                                    | 1331 |    1 | Fire Crystal                    |       90 |
| thaumcraft:crystal_ignis                                    | 1331 |    2 | Fire Crystal                    |       82 |
| thaumcraft:crystal_ignis                                    | 1331 |    3 | Fire Crystal                    |      108 |
| thaumcraft:crystal_ordo                                     | 1334 |    1 | Order Crystal                   |       63 |
| thaumcraft:crystal_ordo                                     | 1334 |    2 | Order Crystal                   |       65 |
| thaumcraft:crystal_ordo                                     | 1334 |    3 | Order Crystal                   |       96 |
| thaumcraft:crystal_ordo                                     | 1334 |    4 | Order Crystal                   |        1 |
| thaumcraft:crystal_perditio                                 | 1335 |    1 | Entropy Crystal                 |       56 |
| thaumcraft:crystal_perditio                                 | 1335 |    2 | Entropy Crystal                 |       76 |
| thaumcraft:crystal_perditio                                 | 1335 |    3 | Entropy Crystal                 |       69 |
| thaumcraft:crystal_terra                                    | 1333 |    1 | Earth Crystal                   |       56 |
| thaumcraft:crystal_terra                                    | 1333 |    2 | Earth Crystal                   |       67 |
| thaumcraft:crystal_terra                                    | 1333 |    3 | Earth Crystal                   |       62 |
| thaumcraft:ore_amber                                        | 1327 |    0 | Amber Bearing Stone             |       24 |
| thaumcraft:ore_cinnabar                                     | 1328 |    0 | Cinnabar Ore                    |       27 |
| thaumcraft:ore_quartz                                       | 1329 |    0 | Quartz Ore                      |       29 |
| undergroundbiomes:igneous_cobble                            | 3649 |    2 | Rhyolite Cobblestone            |       52 |
| undergroundbiomes:igneous_cobble                            | 3649 |    3 | Andesite Cobblestone            |       58 |
| undergroundbiomes:igneous_cobble                            | 3649 |    6 | Komatiite Cobblestone           |      179 |
| undergroundbiomes:igneous_cobble_mossy                      | 3653 |    2 | Rhyolite Mossy Cobblestone      |        2 |
| undergroundbiomes:igneous_cobble_mossy                      | 3653 |    3 | Andesite Mossy Cobblestone      |      162 |
| undergroundbiomes:igneous_cobble_mossy                      | 3653 |    6 | Komatiite Mossy Cobblestone     |      183 |
| undergroundbiomes:igneous_gravel                            | 3666 |    0 | Red Granite Gravel              |        3 |
| undergroundbiomes:igneous_gravel                            | 3666 |    2 | Rhyolite Gravel                 |     2093 |
| undergroundbiomes:igneous_gravel                            | 3666 |    3 | Andesite Gravel                 |      696 |
| undergroundbiomes:igneous_gravel                            | 3666 |    6 | Komatiite Gravel                |      256 |
| undergroundbiomes:igneous_gravel                            | 3666 |    7 | Dacite Gravel                   |     1286 |
| undergroundbiomes:igneous_sand                              | 3669 |    2 | Rhyolite Sand                   |      411 |
| undergroundbiomes:igneous_sand                              | 3669 |    3 | Andesite Sand                   |      290 |
| undergroundbiomes:igneous_sand                              | 3669 |    6 | Komatiite Sand                  |      424 |
| undergroundbiomes:igneous_sand                              | 3669 |    7 | Dacite Sand                     |      349 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    2 | Rhyolite Speleothem             |       42 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    2 | Rhyolite Speleothem             |       68 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    2 | Rhyolite Speleothem             |       86 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    3 | Andesite Speleothem             |       44 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    3 | Andesite Speleothem             |       66 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    3 | Andesite Speleothem             |      134 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    6 | Komatiite Speleothem            |      181 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    6 | Komatiite Speleothem            |      257 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    6 | Komatiite Speleothem            |      257 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    7 | Dacite Speleothem               |        3 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    7 | Dacite Speleothem               |        6 |
| undergroundbiomes:igneous_speleothem                        | 3672 |    7 | Dacite Speleothem               |        7 |
| undergroundbiomes:igneous_stone                             | 3647 |    2 | Rhyolite                        |  1490895 |
| undergroundbiomes:igneous_stone                             | 3647 |    3 | Andesite                        |  1227631 |
| undergroundbiomes:igneous_stone                             | 3647 |    5 | Basalt                          |     3600 |
| undergroundbiomes:igneous_stone                             | 3647 |    6 | Komatiite                       |  1314225 |
| undergroundbiomes:igneous_stone                             | 3647 |    7 | Dacite                          |  2017945 |
| undergroundbiomes:igneous_stone_coal_ore                    | 3763 |    2 | Red Granite Coal Ore            |     1812 |
| undergroundbiomes:igneous_stone_coal_ore                    | 3763 |    3 | Red Granite Coal Ore            |     1118 |
| undergroundbiomes:igneous_stone_coal_ore                    | 3763 |    6 | Red Granite Coal Ore            |      856 |
| undergroundbiomes:igneous_stone_coal_ore                    | 3763 |    7 | Red Granite Coal Ore            |     2274 |
| undergroundbiomes:igneous_stone_diamond_ore                 | 3757 |    2 | Red Granite Diamond Ore         |       38 |
| undergroundbiomes:igneous_stone_diamond_ore                 | 3757 |    3 | Red Granite Diamond Ore         |       30 |
| undergroundbiomes:igneous_stone_diamond_ore                 | 3757 |    6 | Red Granite Diamond Ore         |       20 |
| undergroundbiomes:igneous_stone_diamond_ore                 | 3757 |    7 | Red Granite Diamond Ore         |       32 |
| undergroundbiomes:igneous_stone_gold_ore                    | 3760 |    2 | Red Granite Gold Ore            |      127 |
| undergroundbiomes:igneous_stone_gold_ore                    | 3760 |    3 | Red Granite Gold Ore            |       86 |
| undergroundbiomes:igneous_stone_gold_ore                    | 3760 |    6 | Red Granite Gold Ore            |       44 |
| undergroundbiomes:igneous_stone_gold_ore                    | 3760 |    7 | Red Granite Gold Ore            |      124 |
| undergroundbiomes:igneous_stone_iron_ore                    | 3769 |    2 | Red Granite Iron Ore            |     1091 |
| undergroundbiomes:igneous_stone_iron_ore                    | 3769 |    3 | Red Granite Iron Ore            |      698 |
| undergroundbiomes:igneous_stone_iron_ore                    | 3769 |    6 | Red Granite Iron Ore            |      472 |
| undergroundbiomes:igneous_stone_iron_ore                    | 3769 |    7 | Red Granite Iron Ore            |     1350 |
| undergroundbiomes:igneous_stone_lapis_ore                   | 3781 |    2 | Gabbro Lapis Lazuli Ore         |       42 |
| undergroundbiomes:igneous_stone_lapis_ore                   | 3781 |    3 | Gabbro Lapis Lazuli Ore         |       49 |
| undergroundbiomes:igneous_stone_lapis_ore                   | 3781 |    6 | Gabbro Lapis Lazuli Ore         |       23 |
| undergroundbiomes:igneous_stone_lapis_ore                   | 3781 |    7 | Gabbro Lapis Lazuli Ore         |       52 |
| undergroundbiomes:igneous_stone_redstone_ore                | 3772 |    2 | Red Granite Redstone Ore        |      388 |
| undergroundbiomes:igneous_stone_redstone_ore                | 3772 |    3 | Red Granite Redstone Ore        |      262 |
| undergroundbiomes:igneous_stone_redstone_ore                | 3772 |    6 | Red Granite Redstone Ore        |      183 |
| undergroundbiomes:igneous_stone_redstone_ore                | 3772 |    7 | Red Granite Redstone Ore        |      406 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_amber        | 3778 |    2 | Red Granite Amber Bearing Stone |     1748 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_amber        | 3778 |    3 | Red Granite Amber Bearing Stone |     1315 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_amber        | 3778 |    5 | Red Granite Amber Bearing Stone |        5 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_amber        | 3778 |    6 | Red Granite Amber Bearing Stone |      977 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_amber        | 3778 |    7 | Red Granite Amber Bearing Stone |     2284 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_cinnabar     | 3766 |    2 | Red Granite Cinnabar Ore        |     1552 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_cinnabar     | 3766 |    3 | Red Granite Cinnabar Ore        |     1678 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_cinnabar     | 3766 |    5 | Red Granite Cinnabar Ore        |        4 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_cinnabar     | 3766 |    6 | Red Granite Cinnabar Ore        |     1519 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_cinnabar     | 3766 |    7 | Red Granite Cinnabar Ore        |     2598 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_quartz       | 3754 |    2 | Red Granite Quartz Ore          |     1665 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_quartz       | 3754 |    3 | Red Granite Quartz Ore          |     1570 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_quartz       | 3754 |    5 | Red Granite Quartz Ore          |        5 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_quartz       | 3754 |    6 | Red Granite Quartz Ore          |     1338 |
| undergroundbiomes:igneous_stone_thaumcraft_ore_quartz       | 3754 |    7 | Red Granite Quartz Ore          |     2574 |
| undergroundbiomes:metamorphic_cobble                        | 3656 |    6 | Soapstone Cobblestone           |       77 |
| undergroundbiomes:metamorphic_cobble_mossy                  | 3660 |    6 | Soapstone Mossy Cobblestone     |      114 |
| undergroundbiomes:metamorphic_gravel                        | 3667 |    2 | Marble Gravel                   |      133 |
| undergroundbiomes:metamorphic_gravel                        | 3667 |    6 | Soapstone Gravel                |     3872 |
| undergroundbiomes:metamorphic_sand                          | 3670 |    6 | Soapstone Sand                  |      227 |
| undergroundbiomes:metamorphic_speleothem                    | 3673 |    2 | Marble Speleothem               |       38 |
| undergroundbiomes:metamorphic_speleothem                    | 3673 |    2 | Marble Speleothem               |       43 |
| undergroundbiomes:metamorphic_speleothem                    | 3673 |    2 | Marble Speleothem               |       48 |
| undergroundbiomes:metamorphic_speleothem                    | 3673 |    6 | Soapstone Speleothem            |       30 |
| undergroundbiomes:metamorphic_speleothem                    | 3673 |    6 | Soapstone Speleothem            |       41 |
| undergroundbiomes:metamorphic_speleothem                    | 3673 |    6 | Soapstone Speleothem            |       43 |
| undergroundbiomes:metamorphic_stone                         | 3654 |    2 | Marble                          |   196314 |
| undergroundbiomes:metamorphic_stone                         | 3654 |    6 | Soapstone                       |   698707 |
| undergroundbiomes:metamorphic_stone_coal_ore                | 3764 |    2 | Gneiss Coal Ore                 |      106 |
| undergroundbiomes:metamorphic_stone_coal_ore                | 3764 |    6 | Gneiss Coal Ore                 |     2853 |
| undergroundbiomes:metamorphic_stone_diamond_ore             | 3758 |    6 | Gneiss Diamond Ore              |       99 |
| undergroundbiomes:metamorphic_stone_gold_ore                | 3761 |    2 | Gneiss Gold Ore                 |       11 |
| undergroundbiomes:metamorphic_stone_gold_ore                | 3761 |    6 | Gneiss Gold Ore                 |      259 |
| undergroundbiomes:metamorphic_stone_iron_ore                | 3770 |    2 | Gneiss Iron Ore                 |       72 |
| undergroundbiomes:metamorphic_stone_iron_ore                | 3770 |    6 | Gneiss Iron Ore                 |     1834 |
| undergroundbiomes:metamorphic_stone_lapis_ore               | 3782 |    6 | Blue Schist Lapis Lazuli Ore    |      118 |
| undergroundbiomes:metamorphic_stone_redstone_ore            | 3773 |    6 | Gneiss Redstone Ore             |      749 |
| undergroundbiomes:metamorphic_stone_thaumcraft_ore_amber    | 3779 |    2 | Gneiss Amber Bearing Stone      |      270 |
| undergroundbiomes:metamorphic_stone_thaumcraft_ore_amber    | 3779 |    6 | Gneiss Amber Bearing Stone      |      788 |
| undergroundbiomes:metamorphic_stone_thaumcraft_ore_cinnabar | 3767 |    2 | Gneiss Cinnabar Ore             |      214 |
| undergroundbiomes:metamorphic_stone_thaumcraft_ore_cinnabar | 3767 |    6 | Gneiss Cinnabar Ore             |      889 |
| undergroundbiomes:metamorphic_stone_thaumcraft_ore_quartz   | 3755 |    2 | Gneiss Quartz Ore               |      184 |
| undergroundbiomes:metamorphic_stone_thaumcraft_ore_quartz   | 3755 |    6 | Gneiss Quartz Ore               |      844 |
| undergroundbiomes:sedimentary_gravel                        | 3668 |    0 | Limestone Gravel                |       18 |
| undergroundbiomes:sedimentary_gravel                        | 3668 |    2 | Shale Gravel                    |        1 |
| undergroundbiomes:sedimentary_gravel                        | 3668 |    3 | Siltstone Gravel                |     1446 |
